Time (MDT),Air Temp,RH,T_target,R_red,R_nir,ETc
8/18/2010 14:00,34.3,14.5,29,0.037,0.38,6.35
8/20/2010 13:00,28.6,31.8,27.7,0.036,0.39,5.59
8/21/2010 13:00,29.9,34.9,28.8,0.035,0.4,6.6
8/22/2010 14:00,32.4,26,29.1,0.034,0.4,6.1
8/24/2010 14:00,24.2,36.7,24.6,0.033,0.402,5.84
8/25/2010 14:00,28.4,27.9,27.2,0.032,0.405,6.1
8/26/2010 14:00,32.4,16.5,29.3,0.032,0.408,6.1
8/27/2010 13:00,32.9,25.4,30.7,0.035,0.408,6.1
8/28/2010 14:00,31.7,22.1,30.4,0.038,0.408,5.08
8/29/2010 14:00,30.3,16,29.8,0.04,0.408,5.59
8/30/2010 13:00,28,30.3,29.1,0.042,0.408,6.1
8/31/2010 14:00,25.5,28.2,29.1,0.044,0.408,5.08
9/1/2010 13:00,25.9,31.4,29.9,0.045,0.408,5.33
